# Start at 2020-03-12 18:08:26.630562
# EA  EB  tA  tB
# 
294.754 1.204 116.992 19.092
75.415 1.681 109.628 15.355
122.273 221.485 113.922 114.658
39.634 1.771 96.565 15.295
98.335 1.748 112.597 8.656
172.222 0.384 114.838 135.025
74.689 1.499 110.160 37.000
33.462 0.000 90.176 0.000
31.474 0.000 81.617 0.000
48.453 0.000 103.367 0.000
32.760 0.000 90.893 0.000
81.556 0.000 110.681 9.586
56.624 0.000 106.864 9.586
73.857 0.252 109.581 26.000
38.599 2.220 95.554 10.665
32.986 1.242 88.991 20.060
51.542 0.497 106.420 47.000
143.978 1.854 114.833 14.638
46.456 2.548 103.807 8.098
44.469 2.166 102.759 9.096
30.737 1.949 78.997 13.049
1.541 1.001 11.015 98.000
102.217 0.000 112.174 0.000
65.962 0.000 107.486 0.000
28.964 0.000 56.997 0.000
225.121 0.000 116.389 0.000
95.727 1.647 111.999 23.334
136.687 0.000 114.237 0.000
50.970 2.634 105.707 46.000
710.389 0.000 126.696 0.000
115.391 0.000 112.812 9.586
162.932 0.742 115.302 88.000
138.816 218.955 113.852 114.052
47.361 2.745 99.497 404.000
345.783 0.497 116.682 19.015
142.566 0.000 114.703 0.000
263.940 0.000 115.878 0.000
352.722 2.049 117.279 68.000
52.289 0.000 105.709 0.000
31.953 0.974 83.987 31.025
53.807 1.192 107.320 13.053
37.062 1.967 90.997 8.204
12.382 1.477 23.483 17.089
55.050 0.752 105.689 39.053
34.461 0.252 92.997 460.000
58.070 0.500 107.470 95.000
85.155 0.000 112.999 0.000
29.233 0.000 62.998 0.000
30.212 0.739 76.987 59.025
84.996 0.000 112.679 0.000
40.149 0.000 102.224 0.000
50.330 0.252 104.842 40.000
60.582 0.000 107.491 0.000
130.310 0.000 114.558 0.000
70.874 0.995 109.577 32.072
28.433 0.506 66.997 70.000
86.240 0.000 109.871 0.000
67.261 0.000 108.010 9.586
136.627 110.795 114.578 115.657
29.900 0.000 80.997 9.586
127.069 0.498 113.959 25.025
141.263 0.000 114.414 9.586
61.420 0.000 109.002 9.586
276.742 1.245 115.783 76.025
